Ensembl_ID	mean_alive	mean_dead	log2_fc	p_value	p_adj
ENSG00000205726.15	1.3581742093234013	1.3587108169447035	-5.366076213022541e-4	0.9813893916756156	0.9959519439391893
ENSG00000205730.6	1.5928449587178333	1.5428951129661796	0.04994984575165362	0.09540613328990673	0.5335534464314275
ENSG00000205744.10	1.6317351428981028	1.617445958723294	0.014289184174808733	0.59694783867194	0.8721352478925339
ENSG00000205758.12	1.6325998686584233	1.6102485423258548	0.022351326332568533	0.18161213915974148	0.6398912528831409
ENSG00000205763.13	1.6683260371098407	1.6968951045453569	-0.028569067435516127	0.26146024940298246	0.7025038433854663
ENSG00000205765.9	2.1305132676801373	2.1053010762628688	0.025212191417268492	0.10266671526253054	0.5464858438135887
ENSG00000205791.3	1.2312998905787476	1.2440229558922766	-0.01272306531352907	0.7157789772113581	0.9172882212710417
ENSG00000205795.4	0.9740020186549334	1.017949989916626	-0.04394797126169259	0.43630218011693567	0.8008878949554611
ENSG00000205808.7	1.7204644048245288	1.6555878342702832	0.06487657055424556	0.010986953950074032	0.3271588998458026
ENSG00000205835.9	1.1561076973356286	1.1640484240775655	-0.00794072674193691	0.9224498364084835	0.9839603928597725
ENSG00000205871.5	1.7306546706460648	1.7501995726441735	-0.019544901998108655	0.6096508093806878	0.8799841523542683
ENSG00000205903.7	1.949568093198153	1.9909405859531535	-0.041372492755000545	0.1393177099063219	0.5994896106820058
ENSG00000205937.12	2.5068496070620143	2.4998037228890855	0.00704588417292884	0.5681393167993634	0.8605787216718757
ENSG00000205978.6	2.254190450918629	2.2728625946352574	-0.018672143716628398	0.520533002692706	0.8374074680818907
ENSG00000205981.8	2.3327746589015104	2.295334770268533	0.037439888632977425	0.012549301475009019	0.3364781457986793
ENSG00000206053.13	2.5051146079956954	2.5027976426921255	0.002316965303569951	0.8756628499208143	0.9730776798972155
ENSG00000206147.5	0.8678452640790214	0.9530114938326447	-0.08516622975362331	0.03806962010255457	0.41796017065942676
ENSG00000206172.8	1.0409269764367786	1.1524321835945734	-0.11150520715779488	0.0667085232195588	0.48716202453481755
ENSG00000206195.11	0.9626930822901762	0.9698954815356559	-0.007202399245479607	0.8858354245589624	0.9767487738760199
ENSG00000206337.12	1.6216964886646676	1.469734807045681	0.1519616816189866	8.698104594179352e-4	0.20276056292146202
ENSG00000206341.7	2.0262771188584274	1.9527012043631433	0.07357591449528411	0.048688230635393494	0.4546697104916001
